# Directed graph: network_edgelist.txt 
# Nodes: 10823 Edges: 174977
# FromNodeId	ToNodeId
396716358	698787975
396716358	50961739
396716358	876705436
396716358	689973600
396716358	942312046
396716358	715439890
396716358	999412660
396716358	546615250
396716358	714643741
396716358	205363946
396716358	588933225
396716358	384622882
396716358	168785247
396716358	182507023
396716358	869146873
396716358	541656737
396716358	243793850
396716358	666214045
396716358	881832879
396716358	341318681
396716358	304857434
396716358	106146245
396716358	464095282
396716358	679558360
396716358	4801417
396716358	950100663
396716358	578382090
396716358	665304364
396716358	151281050
396716358	661532785
396716358	835409131
396716358	54583380
396716358	228692952
396716358	784623159
396716358	696801557
396716358	725139945
396716358	427395512
396716358	700711905
396716358	783492163
396716358	788322811
396716358	789254642
396716358	581494106
396716358	861272432
396716358	619804993
396716358	480258642
396716358	701971146
396716358	969576466
396716358	531337861
396716358	89516586
396716358	750030128
396716358	184189394
396716358	824647290
396716358	430372811
396716358	317809009
396716358	892123880
396716358	247915298
396716358	704597846
396716358	799114911
396716358	389632339
396716358	111463007
396716358	615832349
396716358	807160423
396716358	793339375
396716358	112964857
396716358	161328644
396716358	494699932
396716358	270560663
396716358	431776646
396716358	833401379
396716358	652480255
396716358	485792080
396716358	442842650
396716358	609513296
396716358	864283524
396716358	88381598
396716358	696121059
396716358	740593734
396716358	277411727
396716358	476135603
396716358	653820301
396716358	724162821
396716358	505592401
396716358	797905060
396716358	702243960
396716358	411133224
396716358	498511190
396716358	339037938
396716358	175502369
396716358	359936737
396716358	840362546
396716358	288338199
396716358	78053985
396716358	456252974
396716358	266483890
396716358	41284697
396716358	331731937
396716358	206222910
396716358	718030863
396716358	25025999
396716358	700572568
396716358	466943422
396716358	346236518
396716358	382194133
396716358	434182522
396716358	153531109
396716358	307972442
396716358	824000872
396716358	12933156
396716358	866289806
396716358	675517459
396716358	27841115
396716358	591768931
396716358	244112369
396716358	120160383
396716358	143312957
396716358	664430866
396716358	756577125
396716358	364167365
396716358	775386567
396716358	658973620
396716358	256257868
396716358	623279325
396716358	989089855
396716358	419856002
396716358	397973075
396716358	493703833
396716358	8568418
396716358	631216692
396716358	554193431
396716358	77891487
396716358	156885362
396716358	800395166
396716358	502415591
396716358	120554275
396716358	968637629
396716358	458213918
396716358	427487042
396716358	576318776
396716358	212322603
396716358	427960877
396716358	701023313
396716358	619884277
396716358	406658620
396716358	962635881
396716358	367035983
396716358	575418670
396716358	489250956
396716358	933706062
396716358	899967351
396716358	646404897
396716358	806345831
396716358	208178537
396716358	944326917
396716358	627547801
396716358	765949714
396716358	629217601
396716358	564182290
396716358	150777941
396716358	147949236
396716358	128733358
396716358	25384489
396716358	521913872
396716358	241004700
396716358	748484283
396716358	628366929
396716358	800136038
396716358	483679027
396716358	344776133
396716358	772072264
396716358	211020488
396716358	536533890
396716358	398582204
396716358	923152455
396716358	254853632
396716358	67664126
396716358	258385182
396716358	260686579
396716358	761984226
396716358	103352496
396716358	533080712
396716358	810862919
396716358	960992668
396716358	268187219
396716358	845146715
396716358	295830390
396716358	212662158
396716358	554593485
396716358	462332433
396716358	96516672
396716358	434641830
396716358	134488530
396716358	394331919
396716358	857755465
396716358	701651074
396716358	573332161
396716358	476089985
396716358	35478684
396716358	494951411
396716358	590620238
396716358	909545199
396716358	934767974
396716358	16998134
396716358	287755608
396716358	713697308
396716358	132010993
396716358	520728960
396716358	990139624
396716358	337943756
396716358	264226319
396716358	906535064
396716358	984662131
396716358	804537523
396716358	693985053
396716358	944019520
396716358	315896127
396716358	567854424
396716358	723278619
625006958	300504203
625006958	626117069
625006958	543868051
625006958	836353234
625006958	616060704
625006958	389345046
625006958	579776875
625006958	119588737
625006958	896231916
625006958	534879657
625006958	190885608
625006958	827880474
625006958	754262379
625006958	967437955
625006958	951158498
625006958	267148186
625006958	830795893
625006958	377135764
625006958	510061247
625006958	738078577
625006958	544425058
625006958	721753094
625006958	318806908
625006958	329838405
625006958	662124377
625006958	954244466
625006958	725152873
625006958	706120327
625006958	503232132
625006958	40398719
625006958	216841399
625006958	509291208
625006958	647630513
625006958	750597565
625006958	673818526
625006958	707520898
625006958	911274150
625006958	778621575
625006958	623884713
625006958	658799835
625006958	249376607
625006958	701971146
625006958	328314552
625006958	711001160
625006958	339218235
625006958	14699634
625006958	848929091
625006958	661217946
625006958	824386554
625006958	225622383
625006958	267369108
625006958	620597642
625006958	186926568
625006958	861281646
625006958	221792626
625006958	344180325
625006958	628824343
625006958	300065622
625006958	979061181
625006958	312511385
625006958	584466387
625006958	527329286
625006958	104781200
625006958	793214197
625006958	568725795
625006958	520932929
625006958	645404229
625006958	800061000
625006958	466755010
625006958	643178374
625006958	552992745
625006958	528869040
625006958	284590180
625006958	896015001
625006958	230264480
625006958	128267352
625006958	721953721
625006958	659345319
625006958	136743485
625006958	810123820
625006958	602906995
625006958	673119554
625006958	498611701
