# Input: ../network_edgelist.txt
# Nodes: 10823    Edges: 174977
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.172381
# Communities: 6
# NId	CommunityId
396716358	0
50961739	0
689973600	0
999412660	0
714643741	0
205363946	0
588933225	0
541656737	0
881832879	0
304857434	0
464095282	0
665304364	0
151281050	0
661532785	0
228692952	0
696801557	0
427395512	0
700711905	0
788322811	0
789254642	0
581494106	0
861272432	0
750030128	0
184189394	0
430372811	0
704597846	0
389632339	0
111463007	0
615832349	0
807160423	0
793339375	0
112964857	0
270560663	0
833401379	0
442842650	0
609513296	0
740593734	0
277411727	0
476135603	0
724162821	0
505592401	0
797905060	0
702243960	0
359936737	0
288338199	0
718030863	0
700572568	0
434182522	0
153531109	0
307972442	0
824000872	0
27841115	0
591768931	0
244112369	0
756577125	0
775386567	0
658973620	0
989089855	0
419856002	0
397973075	0
493703833	0
8568418	0
554193431	0
77891487	0
156885362	0
120554275	0
576318776	0
212322603	0
427960877	0
701023313	0
406658620	0
962635881	0
646404897	0
806345831	0
944326917	0
627547801	0
765949714	0
629217601	0
564182290	0
150777941	0
147949236	0
128733358	0
25384489	0
521913872	0
800136038	0
483679027	0
344776133	0
211020488	0
398582204	0
254853632	0
260686579	0
761984226	0
103352496	0
533080712	0
810862919	0
960992668	0
295830390	0
554593485	0
96516672	0
434641830	0
394331919	0
476089985	0
494951411	0
590620238	0
934767974	0
713697308	0
132010993	0
337943756	0
264226319	0
906535064	0
626117069	0
119588737	0
754262379	0
951158498	0
544425058	0
721753094	0
318806908	0
329838405	0
725152873	0
503232132	0
40398719	0
673818526	0
778621575	0
249376607	0
328314552	0
711001160	0
14699634	0
661217946	0
267369108	0
186926568	0
861281646	0
221792626	0
344180325	0
979061181	0
584466387	0
527329286	0
104781200	0
568725795	0
520932929	0
643178374	0
528869040	0
284590180	0
810123820	0
673119554	0
498611701	0
972177756	0
535333814	0
431461783	0
492835355	0
319559731	0
455439412	0
429395476	0
952513093	0
610399004	0
8277820	0
32875804	0
212036167	0
16602643	0
59971363	0
135773719	0
256304919	0
865530044	0
716724625	0
259705106	0
796923119	0
223884082	0
396007829	0
896314328	0
695704626	0
419224266	0
193302689	0
939177232	0
74885061	0
936507039	0
748355447	0
781867818	0
452525767	0
687581176	0
647430620	0
862240038	0
521702	0
428055901	0
371875187	0
550110811	0
826153698	0
394014466	0
